#hr3454
#                                                                             
#  From Hamuy et al. Telluric lines removed by Bessell                        
#set .z.units = "erg/s/cm**2/A"
#set .z.label  = "Flux"
#set .table.bandwidth = 16
#
7604  2.2317E-11
7620  2.2141E-11
7636  2.1988E-11
7652  2.1835E-11
7668  2.1684E-11
7684  2.1515E-11
7700  2.1366E-11
7716  2.1219E-11 
7732  2.1073E-11
7748  2.0909E-11
7764  2.0765E-11 
7780  2.0623E-11
7796  2.0482E-11
7812  2.0323E-11
7828  2.0184E-11
7844  2.0046E-11  
7860  1.9910E-11 
7876  1.9756E-11
7892  1.9622E-11
7908  1.9488E-11
7924  1.9338E-11
7940  1.9207E-11
7956  1.9077E-11
7972  1.8931E-11
7988  1.8803E-11 
8004  1.8676E-11
8020  1.8534E-11
8036  1.8409E-11
8052  1.8268E-11 
8068  1.8146E-11
8084  1.8008E-11
8100  1.7887E-11 
8116  1.7751E-11
8132  1.7632E-11  
8148  1.7499E-11
8164  1.7382E-11 
8180  1.7251E-11 
8196  1.7120E-11 
8212  1.7006E-11
8228  1.6878E-11
8244  1.6751E-11
8260  1.6640E-11
8276  1.6515E-11
8292  1.6390E-11 
8308  1.6267E-11 
8324  1.6160E-11
8340  1.6039E-11
8356  1.5919E-11
8372  1.5800E-11
8388  1.5682E-11 
8404  1.5565E-11
8420  1.5534E-11
8436  1.5362E-11
8452  1.5261E-11
8468  1.5162E-11 
8484  1.5146E-11
8500  1.4882E-11
8516  1.5019E-11
8532  1.4853E-11 
8548  1.4487E-11
8564  1.4865E-11
8580  1.4660E-11
8596  1.3948E-11
8612  1.4325E-11
8628  1.4753E-11 
8644  1.4444E-11
8660  1.3455E-11
8676  1.3629E-11  
8692  1.4337E-11
8708  1.4443E-11
8724  1.4206E-11
8740  1.3197E-11
8756  1.2697E-11
8772  1.3630E-11
8788  1.4039E-11 
8804  1.4065E-11
8820  1.3976E-11
8836  1.3709E-11
8852  1.2538E-11
8868  1.1919E-11
8884  1.3046E-11
8900  1.3462E-11
8916  1.3538E-11
8932  1.3540E-11
8948  1.3368E-11 
8964  1.3065E-11
8980  1.2875E-11 
8996  1.2117E-11
9012  1.1022E-11
9028  1.1682E-11
9044  1.2554E-11
9060  1.2614E-11
9076  1.2721E-11
9092  1.2676E-11
9108  1.2597E-11
9124  1.2529E-11
9140  1.2428E-11
9156  1.2317E-11
9172  1.1994E-11
9188  1.2019E-11
9204  1.1586E-11
9220  1.0395E-11
9236  9.9667E-12 
9252  1.1123E-11  
9268  1.1586E-11
9284  1.1398E-11
9300  1.1538E-11
9316  1.1573E-11
9332  1.1661E-11
9348  1.1643E-11
9364  1.1497E-11
9380  1.1447E-11
9396  1.1514E-11
9412  1.1422E-11
9428  1.1124E-11
9444  1.0954E-11 
9460  1.0748E-11
9476  1.0791E-11
9492  1.0607E-11
9508  1.0436E-11
9524  9.5561E-12 
9540  8.9047E-12  
9556  8.3515E-12 
9572  9.7704E-12 
9588  9.7828E-12 
9604  9.9957E-12  
9620  9.9993E-12 
9636  9.9386E-12 
9652  1.0202E-11
9668  9.9368E-12 
9684  1.0032E-11
9700  9.9535E-12 
9716  9.9574E-12 
9732  9.8881E-12 
9748  9.8285E-12  
9764  9.7693E-12 
9780  9.6481E-12 
9796  9.5460E-12 
9812  9.4886E-12 
9828  9.4230E-12 
9844  9.3492E-12 
9860  9.3189E-12 
9876  9.2376E-12 
9892  9.1907E-12 
9908  9.1358E-12 
9924  9.0812E-12 
9940  9.0687E-12 
9956  8.9320E-12 
9972  8.9692E-12 
9988  8.8504E-12 
10004  8.8302E-12 
10020  8.4525E-12 
10036  7.9652E-12 
10052  7.3285E-12  
10068  8.0767E-12 
10084  8.4305E-12 
10100  8.5129E-12 
10116  8.4703E-12 
10132  8.4126E-12 
10148  8.3860E-12 
10164  8.3443E-12 
10180  8.3028E-12 
10196  8.2615E-12 
10212  8.1978E-12 
10228  8.1571E-12 
10244  8.0869E-12  
10260  8.0246E-12 
10276  7.9629E-12 
10292  7.9090E-12 
10308  7.8554E-12 
10324  7.8167E-12 
10340  7.7496E-12  
