# CALSPEC 2024-06
# gj7541a_stis_004.fits
# Trimmed to 3000-10000 A.
# Error is square-added statistical and systematic.
# Wavelength (Angstrom)  Flux (erg/s/cm2/A)  Error (erg/s/cm2/A)
#
3043.744629  1.3223000168774424e-13  1.4599918335457822e-15
3045.11377  1.3178000357605413e-13  1.4544330739503075e-15
3046.48291  1.3118000609380065e-13  1.4487612354563742e-15
3047.852051  1.3138000073704276e-13  1.4502714952013287e-15
3049.221191  1.3126999487411695e-13  1.4479598364091533e-15
3050.590332  1.2992000053904662e-13  1.4348312492431852e-15
3051.959473  1.3177000181101295e-13  1.4532694624390169e-15
3053.328369  1.3141999424468032e-13  1.449366334618069e-15
3054.69751  1.316100006754084e-13  1.4515234098973705e-15
3056.06665  1.3049999449121774e-13  1.445660459594713e-15
3057.435547  1.292300007239497e-13  1.4297693803503935e-15
3058.804443  1.301299969473299e-13  1.4371995533637083e-15
3060.173584  1.3040000394586027e-13  1.4417194270493756e-15
3067.066406  1.2829999920544594e-13  1.6272953460677283e-15
3069.812256  1.3046000098358018e-13  1.6431501087744342e-15
3072.55835  1.3017000400749462e-13  1.6393398369403292e-15
3075.304199  1.2866999674933377e-13  1.6191874408174917e-15
3078.050049  1.30199995750091e-13  1.6379505970277137e-15
3080.796143  1.2879000437730076e-13  1.6168404183997684e-15
3083.541992  1.2995999404668418e-13  1.6239421543877853e-15
3086.288086  1.2962000179791988e-13  1.6218173722395979e-15
3089.033936  1.272899971191399e-13  1.5906602181869141e-15
3091.780029  1.3087999380014675e-13  1.627935808854971e-15
3094.526123  1.3054000155138246e-13  1.623008194684319e-15
3097.272217  1.2860999971161385e-13  1.5990294331013786e-15
3100.018311  1.278099940335911e-13  1.5903378162713654e-15
3102.764404  1.275500023526291e-13  1.5851146934812402e-15
3105.510498  1.294700024273565e-13  1.6027714129041113e-15
3108.256592  1.2917000368622977e-13  1.6052273849346751e-15
3111.002686  1.3001000287189007e-13  1.6073012392269089e-15
3113.749023  1.2731000064922227e-13  1.584076125208788e-15
3116.495117  1.2847000210609166e-13  1.588241409726911e-15
3119.241455  1.2823000040268484e-13  1.5824889972238703e-15
3121.987549  1.2642999440339725e-13  1.5665501664971493e-15
3124.733887  1.2650999497119952e-13  1.564997237467477e-15
3127.47998  1.284499985760093e-13  1.5831548709995306e-15
3130.226318  1.2924000248899087e-13  1.589530593872632e-15
3132.972656  1.2818999334252013e-13  1.5746791416919488e-15
3135.718994  1.2765000645051372e-13  1.568889777376584e-15
3138.465332  1.2736999768694218e-13  1.5917740665125535e-15
3141.21167  1.2634000562308095e-13  1.561599047162211e-15
3143.958008  1.2689999604516972e-13  1.557378281986043e-15
3146.704346  1.2771000348823364e-13  1.5680655084397872e-15
3149.450684  1.2957999473775517e-13  1.582919184081957e-15
3152.197266  1.2895999372541933e-13  1.5734581436984817e-15
3154.943604  1.2562000051286049e-13  1.5707662729921076e-15
3157.689941  1.260699986245506e-13  1.5427669636459062e-15
3160.436523  1.2563000227790166e-13  1.5543221871123494e-15
3163.182861  1.24769999562159e-13  1.5242860811653567e-15
3165.929443  1.249799959704423e-13  1.5249848833468415e-15
3168.676025  1.2706999894581544e-13  1.549591719860171e-15
3171.422607  1.2627999503283388e-13  1.5329875447533817e-15
3174.168945  1.24519996093711e-13  1.518150280374565e-15
3176.915527  1.239999991792598e-13  1.5129766031327357e-15
3179.662109  1.2144999632715536e-13  1.4802988131814936e-15
3182.408691  1.2365999337796835e-13  1.5002708971656844e-15
3185.155273  1.2350000579489095e-13  1.5005182307862826e-15
3187.9021  1.2472000428948027e-13  1.5062837723000058e-15
3190.648682  1.2453999962379336e-13  1.5024683123890988e-15
3193.395264  1.2422999911762544e-13  1.497254401082275e-15
3196.141846  1.2352999753748733e-13  1.4900744204257555e-15
3198.888672  1.239300003764987e-13  1.4929905431049152e-15
3201.635254  1.2357000459765205e-13  1.4863981915555534e-15
3204.38208  1.2427999439030418e-13  1.5250095531814303e-15
3207.128662  1.2337999816692397e-13  1.4810354142082496e-15
3209.875488  1.2409000151210325e-13  1.4881630905802762e-15
3212.622314  1.238700033387788e-13  1.483648722608766e-15
3215.369141  1.2531000000669257e-13  1.5002563917264626e-15
3218.115723  1.2614999919235287e-13  1.5043745600368946e-15
3220.862549  1.2330999936416287e-13  1.472958743297943e-15
3223.609375  1.2166999450047983e-13  1.4562496419848127e-15
3226.356201  1.2404999445193854e-13  1.4789686538169491e-15
3229.103027  1.246599936992332e-13  1.4833513081651613e-15
3231.850098  1.2365000516545432e-13  1.4766147492565294e-15
3234.596924  1.232999975991217e-13  1.4681179500043847e-15
3237.34375  1.2158999393267755e-13  1.4530301756314175e-15
3240.090576  1.2335000642432759e-13  1.4670366065680962e-15
3242.837646  1.2176999859836446e-13  1.4469756900035622e-15
3245.584473  1.2376999924089416e-13  1.468515737852239e-15
3248.331543  1.224599984134614e-13  1.4549054006975201e-15
3251.078369  1.2121999638878972e-13  1.440537604329719e-15
3253.825439  1.2175999683332328e-13  1.4475618368030622e-15
3256.57251  1.2293000005523386e-13  1.4564132252227512e-15
3259.31958  1.216099974627599e-13  1.4405420512526921e-15
3262.066406  1.1899999757293556e-13  1.416143796602624e-15
3264.813477  1.2183999740112555e-13  1.444742170000771e-15
3267.560547  1.21679996265521e-13  1.4397574869852978e-15
3270.307617  1.2135000578179789e-13  1.4357925257592005e-15
3273.054688  1.2172000332568572e-13  1.4398178380827897e-15
3275.801758  1.2196999324160657e-13  1.4391650933178119e-15
3278.548828  1.1995000262152167e-13  1.4190267791177225e-15
3281.296143  1.1959999505518903e-13  1.4158019129292885e-15
3284.043213  1.216600062879658e-13  1.4367247913967722e-15
3286.790283  1.2044999600589051e-13  1.4224680622241799e-15
3289.537354  1.187799993996111e-13  1.4034013505814856e-15
3292.284668  1.2017000079484613e-13  1.418660966763627e-15
3295.031738  1.2117000111611098e-13  1.4265131739429112e-15
3297.779053  1.2127999342650964e-13  1.4288575493826743e-15
3300.526367  1.2087000237498424e-13  1.4230255157825916e-15
3303.273438  1.2043999424084934e-13  1.4167725068077236e-15
3306.020752  1.1892999877017446e-13  1.4016940497971761e-15
3308.768066  1.216600062879658e-13  1.4285873458725002e-15
3311.515137  1.2030999840036832e-13  1.4137368466038826e-15
3314.262451  1.1861999826400654e-13  1.395665928069804e-15
3317.009766  1.1810000134955534e-13  1.3890021081155177e-15
3319.75708  1.18209993659954e-13  1.3923890752342324e-15
3322.504395  1.173500044967385e-13  1.3859300254949448e-15
3325.251709  1.1944999568462566e-13  1.400832723168937e-15
3327.999023  1.1871000059685e-13  1.3941871144230165e-15
3330.746338  1.185100059536079e-13  1.3907964415351575e-15
3333.493896  1.185700029913278e-13  1.3884643480731296e-15
3336.241211  1.1887000173245454e-13  1.3913802589940526e-15
3338.988525  1.181200048796377e-13  1.3831021001214179e-15
3341.736084  1.178000026084286e-13  1.3811004553879376e-15
3344.483398  1.1777999907834624e-13  1.3826869480981449e-15
3347.230713  1.1945999744966684e-13  1.4678356762747122e-15
3349.978271  1.185000041885667e-13  1.3837293280188597e-15
3352.72583  1.1738999800437605e-13  1.3736170251780642e-15
3355.473145  1.1746999857217832e-13  1.3730826532674652e-15
3358.220703  1.1584999723857764e-13  1.3542162649167965e-15
3360.968018  1.176700067679476e-13  1.3722716192204692e-15
3363.715576  1.174399932770548e-13  1.3701813536648824e-15
3366.463135  1.1681000405220493e-13  1.3634426771738824e-15
3369.210693  1.168499975598425e-13  1.3635534267317359e-15
3371.958252  1.1605999364686093e-13  1.3543508372762915e-15
3374.705811  1.1605999364686093e-13  1.3544487754608178e-15
3377.453369  1.162600018426302e-13  1.353907944923996e-15
3380.200928  1.1607999717694328e-13  1.3522343136993398e-15
3382.948486  1.1641000121319356e-13  1.3549402663284621e-15
3385.696045  1.1656000058375693e-13  1.3524711652872158e-15
