    Channel    Wavelength

    151.65 4348.064

    422.12 4277.528

    442.64 4272.169

    576.14 4237.220

    610.62 4228.158

    852.99 4164.284

    874.54 4158.590

   1200.68 4072.004

   1271.94 4052.921

   1956.18 3868.528

   2022.50 3850.581

   2174.13 3809.180

   2465.63 3729.308

   2804.08 3635.916

   2975.16 3588.440

   3322.24 3491.536

