# FILENAME                  STAR_NAME   STAR_RA      STAR_DEC     SPEC_SRC     IS_FLUX IS_TELLURIC
wdfs1206_27_stis_001.txt    WDFS1206-27 12:06:20.351 -27:29:40.68 CALSPEC      1       1          
feige56.dat                 Feige56     12:06:47.23  +11:40:12.7  Oke90        1       0          
hd106252_stis_009.txt       HD106252    12:13:29.510 +10:02:29.89 CALSPEC      1       1          
g13-35.tab                  G13-35      12:25:34.96  +01:17:02.3  Bessell99    1       1          
ltt4816.dat                 LTT4816     12:38:49.78  -49:48:00.2  Oke90        1       0          
hd111721.tab                HD111721    12:51:25.19  -13:29:28.2  Bessell99    1       1          
hd111786.tab                HD111786    12:51:57.90  -26:44:17.8  Heap-Lindler 1       1          
hd111980_stis_007.txt       HD111980    12:53:15.05  -18:31:20.0  CALSPEC      1       1          
gd153_stiswfcnic_004.txt    GD153       12:57:02.322 +22:01:52.63 CALSPEC      1       1          
wdfs1302_10_stis_001.txt    WDFS1302+10 13:02:34.436 +10:12:38.99 CALSPEC      1       1          
hr4963.dat                  HR4963      13:09:56.99  -05:32:20.4  Bessell99    1       0          
hd115169_stis_005.txt       HD115169    13:15:47.388 -29:30:21.18 CALSPEC      1       1          
hz43_stis_005.txt           HZ43        13:16:21.853 +29:05:55.38 CALSPEC      1       1          
wd1327_083_stiswfc_005.txt  WD1327-083  13:30:13.637 -08:34:29.47 CALSPEC      1       1          
hd118055.tab                HD118055    13:34:39.91  -16:19:22.7  Bessell99    1       1          
hd122956.tab                HD122956    14:05:13.02  -14:51:25.5  Bessell99    1       1          
cd32d9927.dat               CD-329927   14:11:46.32  -33:03:14.4  Bessell99    1       0          
bd11d3759_stis_003.txt      BD-11_3759  14:34:16.812 -12:31:10.42 CALSPEC      1       1          
wdfs1434_28_stis_001.txt    WDFS1434-28 14:34:59.587 -28:19:03.59 CALSPEC      1       1          
hd128279.tab                HD128279    14:36:48.51  -29:06:46.6  Bessell99    1       1          
hr5501.dat                  HR5501      14:45:30.20  +00:43:02.2  Bessell99    1       0          
109vir_stis_005.txt         109_VIR     14:46:14.925 +01:53:34.38 CALSPEC      1       1          
bd26d2606_stis_008.txt      BD+26_2606  14:49:02.355 +25:42:09.14 CALSPEC      1       1          
hd132475.tab                HD132475    14:59:49.77  -22:00:45.8  Heap-Lindler 1       1          
wdfs1514_00_stis_001.txt    WDFS1514+00 15:14:21.273 +00:47:52.81 CALSPEC      1       1          
wdfs1535_77_stis_001.txt    WDFS1535-77 15:35:45.310 -77:24:44.13 CALSPEC      1       1          
ltt6248.dat                 LTT6248     15:38:59.65  -28:35:37.0  Oke90        1       0          
wd1544_377_stiswfc_002.txt  WD1544-377  15:47:30.021 -37:55:08.46 CALSPEC      1       1          
hd142331_stis_006.txt       HD142331    15:54:19.788 -08:34:49.37 CALSPEC      1       1          
hd142703.tab                HD142703    15:56:33.37  -14:49:46.0  Heap-Lindler 1       1          
18sco_stis_006.txt          18_SCO      16:15:37.270 -08:22:09.98 CALSPEC      1       1          
sf1615_001a_stisnic_011.txt SF1615+001A 16:18:14.240 +00:00:08.61 CALSPEC      1       1          
eg274.dat                   EG274       16:23:33.84  -39:13:46.2  Oke90        1       0          
vb8_stiswfcnic_004.txt      VB8         16:55:35.256 -08:23:40.75 CALSPEC      1       1          
bd02d3375_stis_008.txt      BD+02_3375  17:39:45.59  +02:24:59.6  CALSPEC      1       1          
hd160617_stis_006.txt       HD160617    17:42:49.32  -40:19:15.5  CALSPEC      1       1          
g20-15.tab                  G20-15      17:47:27.97  -08:46:47.7  Bessell99    1       1          
hd161770.tab                HD161770    17:47:46.08  -09:36:18.4  Bessell99    1       1          
hd165195.tab                HD165195    18:04:40.07  +03:46:44.7  Heap-Lindler 1       1          
hd167060_stis_006.txt       HD167060    18:17:44.143 -61:42:31.62 CALSPEC      1       1          
ltt7379.dat                 LTT7379     18:36:25.95  -44:18:36.9  Oke90        1       0          
wdfs1837_70_stis_001.txt    WDFS1837-70 18:37:17.874 -70:02:51.30 CALSPEC      1       1          
gj7541a_stis_004.txt        EG131       19:20:34.92  -07:40:00.1  CALSPEC      1       1          
wd1919_145_stiswfc_002.txt  WD1919+145  19:21:40.418 +14:40:41.40 CALSPEC      1       1          
wdfs1930_52_stis_001.txt    WDFS1930-52 19:30:18.957 -52:03:46.02 CALSPEC      1       1          
hd184266.tab                HD184266    19:34:15.39  -16:19:00.2  Bessell99    1       1          
hd187111.tab                HD187111    19:48:39.57  -12:07:19.7  Bessell99    1       1          
hr7596.dat                  HR7596      19:54:44.79  +00:16:25.1  Bessell99    1       0          
g24-3.tab                   G24-3       20:05:44.32  +04:02:52.8  Bessell99    1       1          
ltt7987.dat                 LTT7987     20:10:56.85  -30:13:06.6  Oke90        1       0          
hd185975_stis_008.txt       HD185975    20:28:18.74  -87:28:19.9  CALSPEC      1       1          
hs2027_stis_006.txt         HS2027+0651 20:29:32.506 +07:01:07.70 CALSPEC      1       1          
cd-3018140.tab              CD-3018140  20:44:06.29  -30:00:07.6  Bessell99    1       1          
wd2039_682_stiswfc_002.txt  WD2039-682  20:44:21.459 -68:05:21.36 CALSPEC      1       1          
hr7950.dat                  HR7950      20:47:40.55  -09:29:44.8  Bessell99    1       0          
hd200654_stis_008.txt       HD200654    21:06:34.75  -49:57:50.3  CALSPEC      1       1          
hd204543.tab                HD204543    21:29:28.21  -03:30:55.4  Bessell99    1       1          
lds749b_stisnic_008.txt     LDS749B     21:32:16.23  +00:15:14.4  CALSPEC      1       1          
hd205905_stis_010.txt       HD205905    21:39:10.151 -27:18:23.67 CALSPEC      1       1          
bd_28d4211_stis_005.txt     BD+28_4211  21:51:11.022 +28:51:50.37 CALSPEC_Oke  1       1          
wd2149_021_stiswfc_002.txt  WD2149+021  21:52:25.379 +02:23:19.58 CALSPEC      1       1          
hd209458_stisnic_008.txt    HD209458    22:03:10.773 +18:53:03.55 CALSPEC      1       1          
bd_17d4708_stisnic_007.txt  BD+17_4708  22:11:31.38  +18:05:34.2  CALSPEC      1       1          
hr8634.dat                  HR8634      22:41:27.72  +10:49:52.9  Bessell99    1       0          
ltt9239.dat                 LTT9239     22:52:41.04  -20:35:33.0  Oke90        1       0          
wdfs2317_29_stis_001.txt    WDFS2317-29 23:17:20.289 -29:03:22.05 CALSPEC      1       1          
ltt9491.dat                 LTT9491     23:19:35.39  -17:05:28.5  Oke90        1       0          
g29-23.tab                  G29-23      23:19:40.45  +03:22:16.7  Bessell99    1       1          
feige110_stisnic_008.txt    FEIGE110    23:19:58.40  -05:09:56.2  CALSPEC      1       1          
