      Channel   Wavelength
     340.9591    5400.5620   
     549.9548    5495.8730   
     688.5216    5558.7021  
     794.3711    5606.7329  
     891.6162    5650.7041  
    1088.7620    5739.5190   
    1144.3352    5764.4189   
    1268.7239    5820.1558   
    1340.9740    5852.4878   
    1406.9149    5881.8950  
    1548.0963    5944.8340   
    1840.1927    6074.3379   
    1889.6121    6096.1631   
    1995.9916    6143.0625    
    2042.6560    6163.5938   
    2164.7288    6217.2812    
    2277.2603    6266.4951   
    2364.9197    6304.7891   
    2432.8650    6334.4277   
    2544.5188    6382.9917   
    2588.7969    6402.2461    
    2621.2275    6416.3071   
    2829.7651    6506.5283    
    2890.8884    6532.8823   
    3044.5481    6598.9531   
    3229.4773    6678.2764    
    3320.7019    6717.0430    
    3404.7922    6752.8340   
    3684.3276    6871.2891   
    3822.3333    6929.4673   
    3907.8416    6965.4302    
