2967.266 1.92170e-14 5.64380e-03
2969.267 1.94690e-14 5.72550e-03
2971.067 1.92600e-14 5.67100e-03
2972.868 1.89070e-14 5.57370e-03
2974.868 1.85940e-14 5.48880e-03
2976.668 1.88330e-14 5.56610e-03
2978.469 1.90820e-14 5.64660e-03
2980.469 1.92780e-14 5.71220e-03
2982.270 1.97940e-14 5.87220e-03
2984.070 1.96230e-14 5.82870e-03
2986.071 1.98190e-14 5.89480e-03
2987.871 1.92780e-14 5.74060e-03
2989.672 1.86900e-14 5.57240e-03
2991.672 1.89190e-14 5.64820e-03
2993.473 1.82960e-14 5.46870e-03
2995.473 1.81440e-14 5.43040e-03
2997.274 1.87280e-14 5.61210e-03
2999.074 1.99160e-14 5.97520e-03
3001.074 2.00480e-14 6.02290e-03
3002.875 1.99320e-14 5.99510e-03
3004.675 1.99420e-14 6.00530e-03
3006.676 1.99190e-14 6.00640e-03
3008.476 1.95750e-14 5.90990e-03
3010.277 1.91220e-14 5.78010e-03
3012.277 1.89090e-14 5.72320e-03
3014.077 1.89470e-14 5.74150e-03
3015.878 1.85730e-14 5.63490e-03
3017.879 1.82810e-14 5.55360e-03
3019.679 1.85880e-14 5.65380e-03
3021.480 1.89670e-14 5.77590e-03
3023.480 1.86500e-14 5.68670e-03
3025.281 1.87080e-14 5.71130e-03
3027.081 1.79680e-14 5.49190e-03
3029.082 1.84460e-14 5.64560e-03
3030.882 1.96030e-14 6.00690e-03
3032.682 2.02060e-14 6.19880e-03
3034.683 1.90440e-14 5.85000e-03
3036.483 2.02590e-14 6.23080e-03
3038.283 2.11820e-14 6.52250e-03
3040.284 1.95470e-14 6.02700e-03
3042.084 1.94150e-14 5.99320e-03
3044.085 1.87740e-14 5.80300e-03
3045.886 1.85960e-14 5.75480e-03
3047.686 1.79680e-14 5.56690e-03
3049.687 1.87210e-14 5.80780e-03
3051.487 1.84560e-14 5.73260e-03
3053.287 1.80800e-14 5.62230e-03
3055.288 1.79630e-14 5.59320e-03
